"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TakeFloatValues","isatty","/src/lcms/utils/transicc/transicc.c","/usr/include/unistd.h",731,731,779,779,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","isatty(int) -> int","int __fd","int","int"
"TakeFloatValues","fileno","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",731,731,786,786,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","fileno(FILE *) -> int","FILE * __stream","int","int"
"TakeFloatValues","sprintf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",731,731,334,334,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","sprintf(char *__restrict__, const char *__restrict__) -> int","char *__restrict__ __s, const char *__restrict__ __format","int","int"
"TakeFloatValues","fprintf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",731,731,326,326,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"TakeFloatValues","memcpy","/src/lcms/utils/transicc/transicc.c","/usr/include/string.h",731,731,43,43,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"TakeFloatValues","cmsChannelsOfColorSpace","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmspcs.c",731,731,877,877,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","cmsChannelsOfColorSpace(cmsColorSpaceSignature) -> cmsInt32Number","cmsColorSpaceSignature ColorSpace","cmsInt32Number","int"
"TakeFloatValues","atof","/src/lcms/utils/transicc/transicc.c","/usr/include/x86_64-linux-gnu/bits/stdlib-float.h",731,731,25,25,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","atof(const char *) -> double","const char * __nptr","double","double"
"TakeFloatValues","cmsNamedColorInfo","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",731,731,651,651,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","cmsNamedColorInfo(const cmsNAMEDCOLORLIST *, cmsUInt32Number, char *, char *, char *, cmsUInt16Number *, cmsUInt16Number *) -> cmsBool","const cmsNAMEDCOLORLIST * NamedColorList, cmsUInt32Number nColor, char * Name, char * Prefix, char * Suffix, cmsUInt16Number * PCS, cmsUInt16Number * Colorant","cmsBool","int"
"TakeFloatValues","GetIndex","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/transicc/transicc.c",731,731,705,705,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","GetIndex() -> cmsUInt16Number","","cmsUInt16Number","unsigned short"
"TakeFloatValues","GetLine","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/transicc/transicc.c",731,731,632,632,"TakeFloatValues(cmsFloat64Number[]) -> void","cmsFloat64Number[] Float","void","void","GetLine(char *, const char *) -> void","char * Buffer, const char * frm","void","void"
